Code,Title,Description,Diagnosis,"T Code","M Code","P Code",Classification,"Cancer Register",RCPath
"87500B-Naevus Intradermal",,"Skin with a predominantly intradermal melanocytic naevus.? There is no evidence of dysplasia or malignancy. The lesion is incompletely excised at the deep margin. ","Skin: Excision - Intradermal melanocytic naevus",t01000,,,,,
"87600A-Naevus Compound, ex",,"Skin with a compound melanocytic naevus. There is no evidence of dysplasia or malignancy. The lesion is completely excised in the planes of section examined. ","Skin: Excision - Compound melanocytic naevus",t01000,87600naevuscompound,,,,
"87600B-Naevus Compound",,"Skin with a compound melanocytic naevus.? There is no evidence of dysplasia or malignancy. The lesion is incompletely excised at the lateral resection margin. ","Skin: Excision - Compound melanocytic naevus",t01000,87600naevuscompound,,,,
"87600C-Naevus Compound Archite",,"Skin with a compound melanocytic naevus with mild architectural atypia at the periphery but no cytological aytpia. There is no evidence of malignancy. The lesion is completely excised in the planes of section examined. ","Skin: Excision - Compound melanocytic naevus",t01000,87400naevusjunctional,,,,
"87600D1-Naevus Compound Dyspla",,"Skin with an asymmetrical compound melanocytic lesion. There is bridging of adjacent epidermal nests with cytological atypia and lentiginous proliferation. There is dermal inflammation and fibrosis with bland melanocytes. The lesion is completely excised lying X mm from the lateral resection margin. 

The features are those of a mildly dysplastic melanocytic naevus.","Skin: Excision - Mildly dysplastic melanocytic naevus",t01000,87501(dysplasticcmn)moderatelydysplasticmelanocyticnaevus,,,,
"87600D2-Naevus Compound Dyspla",,"Skin with an asymmetrical compound melanocytic lesion. There is bridging of adjacent epidermal nests with cytological atypia and lentiginous proliferation. There is dermal inflammation and fibrosis with bland melanocytes. The lesion is completely excised lying X mm from the lateral resection margin. 

The features are those of a moderately dysplastic melanocytic naevus.","Skin: Excision - Moderately dysplastic melanocytic naevus",t01000,"
87202(mminsitu)dysplasianaevus/malignantmelanomainsitu

",,,,
"87600D3-Naevus Compound Dyspla",,"Skin with an asymmetrical compound melanocytic lesion. There is bridging of adjacent epidermal nests with cytological atypia and lentiginous proliferation. There is dermal inflammation and fibrosis with bland melanocytes. The lesion is completely excised by narrow margins lying X mm from the lateral resection margin. 

The features are those of a severely dysplastic melanocytic naevus.","Skin: excision - Dysplasia Naevus / Malignant melanoma in situ ",t01000,9710atypiamild/9720atypiamoderate/9730atypiasevere/9760suspiciousformalignancy,ga248,,,
"87600E-Naevus Compound Atypica",,"Skin with an asymmetrical moderately atypical compound melanocytic naevus. Both architectural and cytological atypia are seen. There is dermal inflammation and fibrosis with bland melanocytes. The lesion is completely excised lying X mm from the lateral resection margin. 

The features are those of a moderately atypical melanocytic naevus.","Skin: excision - Moderately atypical melanocytic naevus.",,87200naevus,,,,
"87800A-Deep penetrating naevus",,"Skin with a dermal pigmented fairly symmetrical melanocytic lesion. There is no junctional component. The melanocytes reach the mid dermis and have a cellular, nested and fascicular growth pattern with abundant pigment and mild to moderate random nuclear atypia. No dermal mitotic figures are seen but there is patchy mononuclear inflammatory cell infiltrate. A typical feature is absence of maturation and involvement of the erector pili muscle.
 
The features are those of a deep penetrating naevus. The lesion is completely excised but lies 1.7 mm from the lateral resection margin and 3 mm from the deep resection margin. Due to the moderate degree of random cytological atypia and narrow surgical margins a modest re-excision is advised.","Skin: excision - Deep penetrating naevus",,87800naevusblue,,,,
"87800B-Blue naevus incomplete",,"Skin with numerous dermal pigmented dendritic melanocytes set in a fibrous stroma. No evidence of malignancy. The features are those of a blue naevus extending to both lateral and deep resection margins. ","Skin: excision - Blue Naevus",t01000,87200naevus,,,,
"87800C-Blue naevus complete",,"Skin with numerous dermal pigmented dendritic melanocytes set in a fibrous stroma. No evidence of malignancy. The features are those of a blue naevus which appears completely excised. ","Skin: excision - Blue Naevus",t01000,87200naevus,,,,
"Combined naevus ",,"Skin with a combined naevus; the two components are a compound melanocytic naevus with a blue naevus.? There is no evidence of dysplasia or malignancy. The lesion is incompletely excised at the deep margin. ","Skin: excision - combined naevus",t01000,m178,m87800,,,
"87500-linear verrucous naevus",,"Skin with mild hyperkeratosis with broad low papillomatosis and acanthosis. The features are not specific and can be seen with papillomatous seborrheic keratosis, however, in the right clinical context would be in keeping with linear verrucous naevus. There is no evidence of dysplasia or malignancy.?","Skin: excision - Epidermal naevus",t01000,pigmentedspindlecellnaevusofreed,,,,
"87230-Halo naevus",,"Skin with an intradermal melanocytic neavus completely excised with a halo phenomenon. There is no evidence of dysplasia or malignancy. ","Skin: excision - Halo Naevus ",t01000,87700,,,,
87700A-Reeds,,"Skin with a non ulcerated fairly symmetrical junctional melanocytic lesion. The junctional nests are composed of epitheloid and spindle cells with large nuclei and abundant cytoplasm.? Fine pigmentation is seen. The epidermis is acanthotic and there is only focal pagetoid spread. Kamino bodies are seen. There is good lateral circumscription. The dermis contains pigmented melanophages and inflammatory cells. The lesion is completely excised in the planes of section examined. The features are in keeping with a those of a Pigmented Spindle cell naevus of Reed. There is no evidence of dysplasia or malignancy. ","Skin: excision - Pigmented Spindle cell naevus of Reed ",t01000,87702atypicalspitznaevus,,,,
87700B-Spitz,,"Skin with a non ulcerated symmetrical compound melanocytic lesion. The junctional nests are composed of epitheloid and spindle cells with large nuclei and abundant cytoplasm. The epidermis is acanthotic and there is no pagetoid spread. There is good lateral circumscription. The dermal component shows good maturation with depth and mild chronic inflammation. No dermal mitoses are seen. The lesion is completely excised in the planes of section . The features are those of a Spitz Naevus. There is no evidence of dysplasia or malignancy. ","Skin: excision - Spitz naevus ",t01000,72590desmoplasticspitznaevus,,,,
"87700C-Spitz atypical",,"Skin with a non ulcerated fairly symmetrical compound melanocytic lesion. The junctional nests are composed of epitheloid and spindle cells with large nuclei and abundant cytoplasm. The epidermis shows atrophy centrally and rare pagetoid spread. The melanocytes exhibit a lentiginous and focally nested proliferation. There is good lateral circumscription. The dermis shows a dense inflammatory cell infiltrate with Spitzoid cells showing maturation with depth. No dermal mitoses are seen. Superficial fibrosis is noted. The lesion is completely excised  by narrow margins lying 0.9 mm from the lateral resection margin and 4.6 mm from the deep margin. 

The features are those of an atypical Spitz Naevus. 

Case discussed with Dr Corrado DArrigo and Alistair Robson.","Skin: excision - Atypical Spitz naevus",t01000,87202malignantmelanomainsitu,,,,
"87700D-Spitz desmoplastic ",,"Skin with a non ulcerated symmetrical intradermal melanocytic lesion. The dermal nests are composed of epitheloid cells with large nuclei, small nucleoli and abundant cytoplasm. The epidermis is mildly atrophic. There is good lateral circumscription. The dermal component shows good maturation with depth and prominent fibrosis around the dermal nests. Six superifical and margin dermal mitoses are seen including atypical forms. The lesion is completely excised in the planes of section lying 3 mm from the lateral margin and 4 mm from the deep margin. The features are those of an atypical melanocytic lesion. Further levels, immunohistochemsitry and a request for the original biopsy have been made and a supplementary report will follow. ","Skin: excision - Desoplastic Spitz naevus ",t01000,87422lentigomaligna,,,,
"87202A-Melanoma in situ ",,"Skin with a non ulcerated asymmetrical junctional melanocytic lesion. The epidermis shows a lentiginous and nested proliferation of atypical melanocytes with Pagetoid spread. The melanocytes extend down adnexae. The superficial dermis show dermal inflammation but no atypical melanocytes. No regression is seen. There is no co-existent naevus. 

The features are those of melanoma in situ. The lesion lies x mm from the lateral resection margin. 


Double reporting: Dr Corrado DArrigo. ","Skin: excision - Malignant Melanoma in situ",t01000,87453melanomaacrallentiginous,,,,
"87423-Lentigo maligna",,"Skin with a non ulcerated asymmetrical pigmented junctional melanocytic lesion. There is epidermal atrophy and a lentiginous proliferation of atypical melanocytes with Pagetoid spread. The dermis shows inflammation with solar elastosis. No dermal melanocytes are seen. 

The features are those of lentigo maligna. 

Double reporting: Dr Corrado DArrigo.","Skin: excision - Lentigo Maligna",t01000,87433melanomasuperficialspreading,,,,
"87453, Malignant melanoma lent",,"Skin with a non ulcerated compound asymmetrical melanocytic lesion. The junctional component shows a lentiginous proliferation of atypical melanocytes with focal Pagetoid spread. The dermis shows occasional expansile nests. The cells have large nuclei with central eosinophilic nucleoli.
 
The features are those of lentiginous melanoma.  
 
NATIONAL DATASET
Specimen excision only
 
Histology
Lentiginous melanoma
Invasive
 
For invasive tumours
Radial growth phase
Breslow thickness 0.5 mm
Clark level  II
Ulceration No
Lymphatic/blood vessel invasion   No
Perineural invasion    No
Regression    No
Microsatellites     No
Co-existent naevus No
Mitotic rate (VGP only) 0 per mm2
Tumor infiltrating lymphocytes (VGP)   Absent
Margins: 
Peripheral ? 0.8 mm
Deep ? 2.2 mm
 
TNM Microstage pT 1a


Double reporting: Dr Corrado DArrigo.","Skin: excision - Lentiginous melanoma ",t01000,57210(melanosis),,,,
"87433-Melanoma, superficial ",,"Skin with a non ulcerated compound asymmetrical melanocytic lesion. The epidermis shows a lentiginous and nested proliferation of atypical melanocytes with focal Pagetoid spread. The dermis shows pigmented expansile nests. The cells have large nuclei with central eosinophilic nucleoli.
 
The features are those of superficial spreading malignant melanoma.  
 
NATIONAL DATASET
Specimen excision only
 
Histology
Superficial spreading malignant melanoma Invasive
 
For invasive tumours
Vertical growth phase
Breslow thickness 0.6 mm
Clark level  III
Ulceration No
Lymphatic/blood vessel invasion   No
Perineural invasion    No
Regression    No
Microsatellites     No
Co-existent naevus Yes
Mitotic rate (VGP only) 0 per mm2
Tumor infiltrating lymphocytes (VGP)   Brisk
Margins: 
Peripheral ? 2 mm
Deep ? 3.7 mm
 
TNM Microstage pT 1a

Double reporting: Dr Corrado DArrigo.","Skin: excision - Superficial spreading malignant melanoma",t01000,ga632keratinbutnocyst,,,,
"7210-Tumoural melanosis",,"Skin with epidermal pigmentation and dermal inflammation with numerous melanophages indicative of a regressed melanocytic lesion in papillary dermis and upper reticular dermis. No residual junctional component is present. Scattered dermal melanocytes are identified on MelanA staining. There are no elements to discriminate between benign naevus and melanoma. The host response is limited to a depth of 0.5 mm. These findings require clinical correlation and, if melanoma remains a possibility, please consider investigations to rule out systemic spread. The lesion lies 1.3 mm from the lateral resection margin and 5.8 mm from the deep margin. 

The features are those of tumoural melanosis.","Skin: excision - Tumoural melanosis",t01000,m4906scar,,,,
"Extrammamary Pagets disease",,"Skin with a non ulcerated atypical epidermal proliferation. The epidermis shows single, clusters and glandular formations of large cells with pale, vacuolated cytoplasm, just above basal layer of epidermis. Occasional cleft-like spaces between Pagets cells and neighbouring keratinocytes is seen. No intercellular bridges or no dyskeratosis is present. The dermis shows chronic inflammation. 

 The features are suggestive of extrammamary Pagets disease. Immunohistochemistry has been requested and a supplementary report will follow. 

This case should be listed for the Local Skin MDT.

Double reporting: Dr Corrado DArrigo.","Skin: Extrammamary Pagets disease",t01000,m4906scar,,,,
33400A-Keratin,,"The specimen consists of fragments of laminated keratin; no epithelial cyst lining is present. No malignancy is seen. 

The features are in keeping with cyst contents. ","Skin: excision - Keratin but no cyst ",t01000,33400cystnos,,,,
"33400B- Scar but no FB/ cyst",,"Skin with dermal fibrosis and chronic inflammation. No cyst is seen. There is no evidence of dysplasia or malignancy. The features are those of scarring and although not specific but would be in keeping with a previously ruptured cyst.","Skin: excision - Ruptured cyst ",t01000,33400cystnos,,,,
"33400C- Scar and FB but no cys",,"Skin with a dermal granulomatous foreign? body reaction to keratin.? There is no evidence of dysplasia or malignancy. The features are in keeping with a ruptured cyst with the original cyst no longer present. ","Skin: excision - Granulomatous reaction no cyst ",t01000,33400cystnos,,,,
"33400D-Cyst epithelial ",,"Skin with a part of a simple epithelial cyst. There is no evidence of dysplasia or malignancy. ","Skin: excision - Simple epithelial cyst ",t01000,33410cystepidermalinclusion,,,,
"33400E-bartholin gland cyst",,"Fibroconnective tissue with vestibular glands and a cyst lined by mucinous epithelium. There is no evidence of dysplasia or malignancy. The features are those of a bartholin gland cyst.","Skin: excision - bartholin gland cyst",,33410cystepidermalinclusion,,,,
33400F-Steatocystoma,,"Skin with a cyst with serpiginous wall lined by thin squamous epithelium. The outer surface has corrugated cuticle Minimal granular layer is seen. No dysplasia or malignancy is seen. If multiple consider steatocystoma multiplex.","Skin: excision - steatocystoma",t01000,33400cystnos,p1100,,,
"33410A-Epidermoid cyst",,"The specimen consists of part of an epidermoid cyst. There is no evidence of dysplasia or malignancy. ","Skin: excision - Epidemoid cyst",t01000,33410cystepidermalinclusion,,,,
"33410B-Epidermoid cyst, FB",,"The specimen consists of part of an epidermoid cyst. There is a granulomatous foreign? body reaction.? There is no evidence of dysplasia or malignancy. ","Skin: excision - epidermoid cyst",t01000,33470cystpilar,,,,
"33410C-Epidermoid cyst, Fibros",,"The specimen consists of a part of an epidermoid cyst. The adjacent dermis shows fibrosis and scarring. There is no evidence of dysplasia or malignancy. ","Skin: excision - epidermoid cyst",t01000,33470cystpilar,,,,
"33410D-Epidermoid cyst, ex",,"The specimen consists of a completely excised epidermoid cyst. There is no evidence of dysplasia or malignancy. ","Skin: excision - epidermoid cyst",t01000,33400cystnos,,,,
"33470A-Pilar cyst, part",,"The specimen consists of part of a trichilemmal cyst. There is no evidence of dysplasia or malignancy. ","Skin: excision - Pilar cyst",t01000,33760calcifiedcyst,,,,
"33470B-Pilar cyst ex",,"The specimen consists of a completely excised trichilemmal cyst. There is no evidence of dysplasia or malignancy. ","Skin: excision - Pilar cyst",t01000,33400cystnos,,,,
81100-pilomatricoma,,"Skin with a completely excised Pilomatricoma (calcifying epithelioma of Malherbe). There is no evidence of dysplasia or malignancy. ","Skin: excision - Pilomatricoma, calcifying epithelioma of Malherbe ",t01000,40000abscess,,,,
"5500-Calcified cyst",,"Skin with dystrophic calcification and a foreign body reaction. There is no evidence of dysplasia or malignancy. This may represent calcinosis cutis. ","Skin: excision - Calcified Cyst ",t01000,40000ulceratedskin,,,,
"84040-eccrine hidrocystoma",,"Skin with a completely excised Eccrine hidrocystoma. There is no evidence of dysplasia or malignancy. ","Skin: excision - Eccrine hidrocystoma",t01000,45020granulationtissue,,,,
38000A-Abcess,,"Skin with dermal and subcutaneous acute on chronic inflammation.? There is no evidence of dysplasia or malignancy. The features are keeping with an abscess. ","Skin: excision - Abscess ",t01000,47400folliculitis,,,,
38000B-Ulcer,,"Skin with dermal scarring and acute on chronic inflammation. Dermal blood vessels are seen. There is no evidence of dysplasia or malignancy. The features are reactive in nature and are of ulcerated skin. ","Skin: excision - Ulcerated skin ",t01000,47401acutefolliculitis,,,,
"45020A-Granulation tissue",,"Superficial fragments of vascularised tissue showing oedema and acute on chronic inflammation in keeping with granulation tissue. No dysplasia or malignancy is seen. ","Skin: excision - Granulation tissue ",t01000,46520hidradenitissuppurativa,,,,
41000A-Folliculitis,,"Skin with a foreign body reaction to keratin involving a hair follicle with associated fibrosis. There is no evidence of dysplasia or malignancy. The features are those of a ruptured hair follicle with a subsequent granulomatous foreign body reaction. ","Skin: excision - Folliculitis ",t01000,14350insectbitereaction,,,,
"41000B-Folliculitis acute",,"Skin with surface scale crust overlying the ostia of a hair follicle with surrounding oedema and acute inflammation. The neutrophil polymorphs infiltrate the follicular infundibulum resulting in an acute folliculitis. No fungal hyphae are seen on special stains (DPAS negative). A negative result does not exclude infection.  ","Skin: excision - Acute folliculitis",t01000,757114zoon'sbalanitis(balanitiscircumscriptaplasmacellularis),,,,
"41000C-Hidradenitis suppurativ",,"Skin with dermal fibrosis and scarring around a dilated hair follicle. There is acute on chronic inflammation. No granulomas are seen. The features are those of acute on chronic inflammation, scarring and fibrosis. No malignancy is seen. In the right clinical context the features are in keeping with a hidradenitis suppurativa. ","Skin: excision - ",t01000,43750chondrodermatitisnodularishelicis,,,,
"41000D-Insect bite reaction",,"Skin with mild acanthosis and epidermal spongiosis. A moderately dense, superficial and deep infiltrate consisting mainly of lymphocytes and occasional eosinophils is prevalent in the dermis, with eosinophils extending to interstitial and periadnexal distribution. The features are in keeping with an insect bite reaction. There is no evidence of lymphoma. ","Skin: excision - Insect bite reaction",t01000,44920granulomaannulare,,,,
41000E-Zoons,,"Skin with a spongiotic epidermis,?surface erosion?and a dense?band,like inflammatory cell infiltrate in the dermis containing numerous plasma cells. There is dermal vascular ectasia and congestion. There is no evidence of dysplasia or malignancy. The features are in keeping with??Zoon's balanitis (balanitis circumscripta plasmacellularis). ","Skin: excision - ?Zoon's balanitis (balanitis circumscripta plasmacellularis) ",t01000,44930necrobiosislipodica,,,,
"42100A-Chondrodermatitis nodul",,"Skin with no underlying cartilage. There is surface ulceration, fibrin deposition and acute inflammation. There is no evidence of dysplasia or malignancy. The features are not specific for  Chondrodermatitis nodularis helicis in the absence of underlying cartilage however in the right clinical context are in keeping with this diagnosis. ",,,"
44940(rheumatoidnodule)",,,,
"42100B-Chondrodermatitis nodul",,"Skin with cartilage showing hyperkeratosis, central erosion of the epidermis with dermal fibrosis and perichondral fibrosis. No dysplasia or malignancy is seen. The lesion is completely excised. The features are in keeping with Chondrodermatitis nodularis helicis ","Skin: excision - Chondrodermatitis nodularis helicis ",t01000,44080granulomafaciale?,,,,
"44000A-Granuloma annulare",,"Skin with normal epidermis. Located in the superficial and mid dermis is a vague area of necrobiosis surrounded by peripheral rim of histiocytes and lymphocytes. Multinucleated giant cells are seen. The intervening areas of dermis between the necrobiotic granulomas is normal. The features are those of Granuloma annulare.","Skin: excision - Granuloma annulare ",t01000,58240balanitisxeroticaobliterans,,,,
"44000B-Necrobiosis lipoidica",,"Skin with pandermal necrobiosis with aggregates of lymphocytes spilling into the subcutis. There is mild acanthosis and spongiosis. Multinucleate giant cells are seen. The features are in keeping with necrobiosis lipoidica.","Skin: excision - Necrobiosis lipodica ",t01000,58240balanitisxeroticaobliterans,,,,
"44000C-Rheumatoid nodule",,"Nodular fibrous tissue in which there are multiple foci of necrobiosis surrounded by peripheral rim of histiocytes and lymphocytes. No dysplasia or malignancy is seen. The features are those of a rheumatoid nodule or deep Granuloma annulare.","Skin: excision - Rheumatoid nodule ",t01000,43000inflammation,,,,
"44080D-Granuloma faciale",,"Skin with a dermal infiltrate and telangiectatic vessels with a grenz zone between the dermal infiltrate and a normal epidermis and adnexae. The dermal infiltrate is polymorphous consisting primarily of neutrophils, eosinophils, and plasma cells. Some ectatic vessels were seen in the dermis with prominent endothelial cells and neutrophils in the vessel walls.The features are in keeping with Granuloma faciale.?","Skin: excision - Granuloma faciale?",t01000,85240lichensclerosus,,,,
58240A-BXO,,"Skin with balanitis xerotica obliterans. There is evidence of lichenoid interface change and subepithelial stromal hyalinisation. There is reactive atypia in the vicinity of the inflammation but no frank dysplasia or malignancy. ","Skin: excision - balanitis xerotica obliterans",t01000,48960pityriasislichenoideschronica,,,,
"58240B-BXO subtle inflammation",,"Skin with papillomatous acanthotic epidermis. There is focal interface change with a lichenoid inflammatory cell infiltrate but little in the way of sub-epidermal stromal hyalinisation.  There is no evidence of dysplasia or malignancy. The features may represent ?early? balanitis xerotica obliterans. ","Skin: excision - early balanitis xerotica obliterans",t01000,48980pityriasisrubrapilaris,,,,
"58240C-Non specific no BXO",,"Skin with papillomatous acanthotic epidermis. There is focal chronic inflammation but no interface change or sub-epidermal stromal hyalinisation.? There is no evidence of dysplasia or malignancy. There are no features of balanitis xerotica obliterans. The features are mild and are of non specific inflammation. ","Skin: excision - inflammation",t01000,46620(acnerosacea)rosacea,,,,
"58240D-Lichen sclerosus",,"Skin with lichenoid interface change and subepithelial stromal hyalinisation. There is reactive atypia in the vicinity of the inflammation but no frank dysplasia or malignancy. 

The features are those of lichen sclerosus. ","Skin: excision - lichen sclerosus",t01000,6620acnerosacea,,,,
"43000A-Pityriasis Lichenoides ",,"Skin with exocytosis by red blood cells and mononuclear cells with mild spongiosis and notable basal cell vacuolation. There is a perivascular infiltrate along with mononuclear infiltration of vessel walls, endothelial swelling, extravasation of RBCs in the superficial dermis. Basal cell vacuolation is associated with occasional apopototic keratinocytes. Surface parakeratosis is noted. The features are those of a lichenoid reaction pattern and in keeping with pityriasis Lichenoides chronica. ","Skin: excision - Pityriasis Lichenoides chronica",t01000,11310vascultis,,,,
"43000B-Pityriasis rubra pilari",,"Skin with subtle alternating orthokeratosis and parakeratosis in both vertical and horizontal directions; focal hypergranulosis; thick suprapapillary plates; broad rete ridges; narrow dermal papillae; and sparse superficial perivascular infiltration, mostly of lymphocytes.
The features are in keeping with pityriasis rubra pilaris.
","Skin: excision - Pityriasis Rubra Pilaris",t01000,9000fibrosis/sclerosis,,,,
43000C-Rosacea,,"Skin with an acute folliculitis. The adjacent epidermis shows Demodex mites in hair follicles with dermal vascular ectasia and chronic inflammation. There is no interface change. Plasma cells are inconspicuous. No fungal hyphae are seen on special stains. The features are those of an acute folliculitis with probable background Rosacea. ","Skin: excision - Rosacea",t01000,9000fibrosis/sclerosis,,,,
"43000D-Rosacea granulomatous",,"Skin with follicular plugging with dermal vascular ectasia and chronic inflammation. Focal aggregates of histiocytes are seen. There is no interface change. Plasma cells are conspicuous. No fungal hyphae are seen on special stains. The features are those of a granulomatous condition and raise the possibility of granulomatous Rosacea. ","Skin: excision - Granulomatous rosacea",t01000,85240,,,,
43000E-Cappilaritis,,"Skin with normal epidermis. In the superifical dermis there is red cell extravasation and iron deposition (Perl?s positive). The features are entirely in keeping with a cappliaritis. ","Skin: excision - Cappilaritis ",t01000,85240lichensclerosus,,,,
"M49000A-Early morphea",,"Skin with normal epidermis and superficial dermis. The deep dermis shows an increase in collagen and perifollicular inflammation but plasma cells are inconspicuous. Special stains have been requested and a supplementary report will follow. ","Skin: excision - Early morphea ",t01000,"d000503,d022280lichenoidkeratosis",,,,
M49000B-Morphea,,"Skin with normal epidermis and superficial dermis. The mid to deep dermis shows an increase in collagen and peri,adnexal inflammation but plasma cells are inconspicuous. The features are entirely in keeping with Morphea. ","Skin: excision - Morphea ",t01000,48891lichenoiddrug,,,,
"M49000C-Extra-genital Lichen s",,"skin with compact orthokeratosis with lichenoid interface change, epidermal atrophy and sub-epithelial stromal hyalinisation. There is chronic inflammation. The features are entirely in keeping with lichen sclerosus. ","Skin: excision - lichen sclerosus",t01000,48890lichenplanus,,,,
"48890A-Lichenoid keratosis",,"Skin with epidermal acanthosis and a dense lichenoid dermal inflammatory cell infiltrate. There is reactive atypia but no frank dysplasia. The lesion is completely excised and represents a lichenoid keratosis; this is now considered a regressive squamous or melanocytic lesion where the features of the original lesion are not present. If the lesions are multiple then we must consider lichen planus. ","Skin: excision - Lichenoid Keratosis ",t01000,48910lichennitidus,,,,
"48890B-Lichenoid drug",,"Skin with mild acanthosis, hyperkeratosis and interface change. Occasional civatte bodies are seen and there is pigmentary incontinence. In the dermis eosinophils are conspicuous. There is no evidence of psoriasis. No spongiosis is seen. Fungal stains are negative. The features are those of a lichenoid tissue reaction pattern and raise the possibility of a lichenoid drug reaction. Clinicopathological correlation is advised. ","Skin: excision - Lichenoid drug ",t01000,48560erythemamultiforme,,,,
"48890C-Lichen planus",,"Skin with hyperkeratosis, irregular acanthosis and interface change with Civatte bodies. There is dermal inflammation. No dysplasia or malignancy is seen. The features are in keeping with lichen planus. ","Skin: excision - Lichen Planus ",t01000,8540drugeruption,,,,
"48890D-Lichen planus hypertrop",,"Skin with marked hyperkeratosis, parakeratosis, irregular acanthosis and focal interface change with Civatte bodies. Surface crusting is noted. Wedge shaped hypergranulosis is present. There is dense dermal chronic inflammation. No fungal hyphae are seen on special stains (DPAS). No dysplasia or malignancy is seen. 

The features are in keeping with hypertrophic lichen planus. ","Skin: excision - Hypertrophic lichen planus ",,36410eczema,,,,
"48890E-Lichen nitidus",,"Skin with mild acanthosis and focal dermal inflammatory infiltrate composed of lymphohistiocytic cells with subtle interface change. The features are in keeping with lichen nitidus. ","Skin: excision - Lichen nitidus",t01000,48100eczema,,,,
"48890F-Erythema multiforme",,"Skin with normal basket weave keratin with mild epidermal atrophy. There is sub,epidermal clefting and numerous apoptotic keratinocytes in the dermis and epidermis. Moderate dermal chronic inflammation is seen. The features are those of a lichenoid reaction pattern and in keeping with erythema multiforme/ Stevens,Johnson syndrome. Clinicopathological correlation is required. ","Skin: excision - Erythema multiforme ",t01000,43000hypersensitivityreaction,,,,
"48890G-Drug eruption",,"Skin with epidermal pigmentation, mild acanthosis, compact hyperkeratosis, focal spongiosis and interface change. In the dermis there is mild chronic inflammation. Eosinophils are inconspicuous. Fungal stains are negative. No vasculitis is seen. 

The features are those of a combined spongiotic and lichenoid tissue reaction pattern and are suggestive of a drug reaction. Clinicopathological correlation is advised.","Skin: excision - Drug reaction ",,1570acantholysis,,,,
48000A-Eczema,,"Multiple sections have been cut and examined. Skin with surface scale crust, compact parakeratosis, irregular acanthosis with spongiosis and mild lymphocytic exocytosis. Intra-corneal neutrophils are seen. The dermis shows a perivascular chronic inflammatory cell infiltrate. No interface change is seen. No fungal hyphae are seen on special stains. No dysplasia or malignancy is seen. 

The features are those of a spongiotic reaction pattern as seen in eczematous conditions.","Skin: excision - Eczema",t01000,74440keratosisfollicularis(darier'sdisease),,,,
"48000B-Digitate Dermatosis",,"Skin with compact hyperkeratosis, mild spongiosis with lymphocytic exocytosis. Epidermal atrophy is noted. There is no epidermotropism. The dermis shows a perivascular chronic inflammatory cell infiltrate. No interface change is seen. No fungal hyphae are seen on special stains. No dysplasia or malignancy is seen. 

The features are those of a spongiotic reaction pattern and in keeping with chronic?superficial scaly?dermatitis.","Skin: excision - Digitate Dermatosis",,76320telangiectasiamaculariseruptivaperstans,,,,
"48000C-Hypersensitivity reacti",,"Skin with normal keratin and mild acanthosis of the epidermis without spongiosis or interface change. The dermis shows a moderate perivascular chronic inflammatory cell infiltrate. Eosinophils are inconspicuous. No vesiculo-bullous condition is seen. No fungal hyphae are seen on special stains. 

The features are those of superficial chronic inflammation as seen in hypersensitivity reactions. Direct immunofluorescence has been requested and a supplementary report will follow with a concluding report. ","Skin: excision - Hypersenstivity reaction",,55360xanthelasma,,,,
40000A-Grovers,,"Grover's disease (transient acantholytic dermatosis) shows five histological patterns: Darier pattern, Hailey-Hailey pattern, pemphigus foliaceous pattern, pemphigus vulgaris pattern and a spongiotic -acantholytic pattern. ","Skin: excision - Grovers ",,46350pilonidalsinus,,,,
40000B-Dariers,,"Skin with suprabasal acantholysis with grains, crop ronds and a keratin plug. The features are those of an acantholytic suprabasal disorder and differentials include Darier?s disease and Grover?s disease (with a Darier-like pattern on histology). Pemphigus should be excluded clinically. ","Skin: excision - Dariers and grovers disease",t01000,46350classicpilonidalsinus,,,,
40000C-TMEP,,"Skin with a mononuclear inflammatory cell infiltrate with the presence of increased numbers of mast cells (CD117 +) around ectatic capillaries in the upper dermis. The features are those of telangiectasia macularis eruptiva perstans.","Skin: excision - Telangiectasia macularis eruptiva perstans",t01000,46350chronicsinus,,,,
"88320-Xanthelasma ",,"Skin with aggregated of foamy histiocytes in the dermis with occasional giant cells. No malignancy is seen. The features are those of cutaneous Xanthoma. ","Skin: excision - Xanthelasma ",t01000,57000post-inflammatorypigmentation,,,,
"46350A-pilonidal, no hair shaf",,"Skin with dermis and subcutis. There is acute dermal inflammation and fibrosis but no hair shaft fragments. No malignancy is seen. The features are those of an inflamed sinus tract and in keeping with a pilonidal sinus. ","Skin: excision - Pilonidal Sinus ",t01000,43000nourticaria,,,,
"46350B-pilonidal, Classic",,"Skin with dermis and subcutis. There is dermal inflammation, fibrosis and a granulomatous reaction to hair shaft fragments. No dysplasia or malignancy is seen. The lesion is completely excised. The features are those of a pilonidal sinus. ","Skin: excision - Classic Pilonidal Sinus ",t01000,36320effusionserofibrinous,,,,
"46350C-Chronic sinus",,"Skin with dermis and subcutis. There is acute on chronic dermal inflammation with surrounding fibrosis. No dysplasia or malignancy is seen. The features although not specific are in keeping with a a pilonidal sinus. ","Skin: excision - Chronic Sinus ",t01000,36320effusionserofibrinous,"m,43000",,,
